"","Year","Entity","new_cases_5_years_later","population_size_5_years_later","hdi","haq","gdp_per_capita","female_emply_rate","urb_rate","drug_alcohol_disorder_share","new_cases_share_5_years_later","hdi_avg","haq_avg","gdp_per_capita_avg","female_emply_rate_avg","urb_rate_avg","drug_alcohol_disorder_share_avg","hdi_over_avg","haq_over_avg","gdp_per_capita_over_avg","female_emply_rate_over_avg","urb_rate_over_avg","drug_alcohol_disorder_share_over_avg"
"344",2000,"Mongolia",14.014819611,2526000,0.589,44.7,2737,54.4290008544922,57.133,3.204737116,5.54822629097387e-06,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,1,1
"345",2005,"Mongolia",44.002631914,2720000,0.65,50.9,4943,53.6980018615723,62.494,3.664581415,1.61774382036765e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,0,0,1,1,1
"346",2005,"Montenegro",5.87160776325,624000,0.753,74.4,8951,42.6860008239746,62.465,2.381985178,9.40962782572115e-06,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,0,0,1,1
"347",1990,"Morocco",821.898687809,26994000,0.458,44,4828,24.0830001831055,48.391,1.211748954,3.04474582429058e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,0,0,0
"348",1995,"Morocco",1455.23315692,28794000,0.489,47.8,4830,24.4810009002686,51.692,1.216329908,5.05394581134959e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,0,0,0
"349",2000,"Morocco",1594.48881157,30456000,0.53,52.6,4580,25.2520008087158,53.335,1.23090434,5.23538485543079e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,0,0,0
"350",2005,"Morocco",1364.38550556,32343000,0.58,55.6,4440,26.6690006256104,55.174,1.244247283,4.21848778888786e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,0,0,0
"351",1990,"Mozambique",106742.810223,15483000,0.209,33.2,489,87.2320022583008,25,1.862629948,0.00689419429199767,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,0,0
"352",1995,"Mozambique",143358.043856,17712000,0.229,35.1,443,86.7799987792969,27.495,1.866975366,0.00809383716440831,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,0,0
"353",2000,"Mozambique",155012.497974,20494000,0.298,36.4,606,87.6110000610352,29.098,1.871771523,0.00756379906187177,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,0,0
"354",2005,"Mozambique",174428.179267,23532000,0.357,39.6,896,87.0540008544922,29.999,1.888424843,0.00741238225679925,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,0,0
"355",1990,"Myanmar",17600.5002248,43902000,0.359,29.7,999,61.1790008544922,25.243,1.433314994,0.000400904291941142,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,0,0
"356",1995,"Myanmar",33548.8961782,46720000,0.398,31.6,1331,60.3240013122559,26.124,1.44228973,0.000718084250389555,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,0,0
"357",2000,"Myanmar",21526.9132797,48950000,0.431,34.7,1427,58.8880004882813,27.025,1.444376027,0.00043977350928907,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,0,0
"358",2005,"Myanmar",14626.5055463,50601000,0.477,39.5,2031,56.1059989929199,27.946,1.443142682,0.000289055661870319,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,0,0
"359",1990,"Namibia",15440.2554384,1628000,0.579,41.8,4787,48.7799987792969,27.656,2.295281118,0.00948418638722359,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,0,0,0
"360",1995,"Namibia",22779.0586964,1795000,0.588,41.9,4775,48.9150009155273,29.813,2.323998506,0.0126902833963231,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,0,0,1
"361",2000,"Namibia",16927.7264872,1938000,0.558,39.9,5204,48.9160003662109,32.373,2.322858428,0.00873463699029928,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,0,0,1
"362",2005,"Namibia",11172.2071937,2119000,0.556,43.5,6171,51.9710006713867,36.632,2.299520808,0.00527239603289287,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,0,0
"363",1990,"Nepal",536.20235885,21576000,0.378,34,1071,80.4749984741211,8.854,1.869392229,2.48517963871895e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,0,0
"364",1995,"Nepal",5984.2546231,23941000,0.41,37.1,1438,81.6800003051758,10.883,1.911109465,0.000249958423754229,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,0,0
"365",2000,"Nepal",6390.54530188,25745000,0.446,41.6,1392,81.370002746582,13.397,1.929258045,0.000248224715551758,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,0,0
"366",2005,"Nepal",3992.99411474,27013000,0.475,45.7,1353,79.9120025634766,15.149,1.950704317,0.000147817499527635,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,0,0
"367",1990,"Netherlands",843,15468000,0.829,79.2,25173,43.048999786377,68.684,1.933782082,5.4499612102405e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,0,1,0
"368",1995,"Netherlands",1219,15926000,0.861,80.8,28915,47.3079986572266,72.809,1.906013257,7.65415044581188e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,0,1,0
"369",2000,"Netherlands",1218,16367000,0.876,82.1,39923,53.2200012207031,76.795,1.816133673,7.44180362925399e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,1,1,0
